time,Avior,Josephine
1733,274,0
1734,180,0
1735,45,0
1736,205,0
1737,17,0
1738,15,90
1739,60,9
1740,114,0
1741,108,37
1742,125,4
1743,0,0
1744,29,0
1745,214,293
1746,393,398
1747,444,509
1748,558,693
1749,299,171
1750,366,173
1751,387,344
1752,212,412
1753,1061,40
1754,652,454
1755,35,16
1756,843,27
1757,199,9
1758,377,348
1759,485,66
1760,556,21
1761,348,35
1762,218,0
1763,99,0
1764,0,5
1765,191,0
1766,254,74
1767,299,31
1768,584,52
1769,347,513
1770,557,856
1771,680,99
1772,1036,446
1773,71,389
1774,508,349
1775,1248,372
1776,1527,14
1777,905,482
1778,388,38
1779,944,64
1780,679,553
1781,127,586
1782,219,20
1783,273,214
1784,1037,90
1785,1321,1087
1786,353,172
1787,1053,20
1788,102,77
1789,508,109
1790,206,250
1791,121,257
1792,664,150
1793,434,345
1794,354,26
1795,696,60
1796,275,626
1797,343,277
1798,326,150
1799,24,193
1800,97,160
1801,173,58
1802,111,339
1803,393,380
1804,430,194
1805,236,114
1806,262,9
1807,4,13
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,33
1816,0,0
1817,0,4
1818,0,0
1819,0,0
1820,0,0
1821,15,0
1822,9,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,15,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,7,0
1839,0,6
1840,16,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,7,267
1847,0,481
1848,56,62
1849,44,0
1850,0,107
1851,44,0
1852,0,86
1853,0,42
1854,0,5
1855,0,58
1856,0,91
1857,39,111
1858,0,152
1859,0,5
1860,0,490
1861,0,275
1862,0,471
1863,0,307
1864,0,72
1865,0,559
1866,23,648
1867,13,152
1868,0,384
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,15
1874,0,0
1875,0,12
1876,0,25
1877,0,192
1878,0,215
1879,0,430
1880,22,247
1881,0,65
1882,0,58
1883,0,0
1884,0,14
1885,0,57
1886,0,77
1887,0,127
1888,0,180
1889,162,487
1890,275,612
1891,99,71
1892,0,24
1893,0,184
1894,169,250
1895,16,362
1896,58,5
1897,0,8
1898,138,123
1899,198,0
1900,22,299
1901,41,312
1902,115,107
1903,98,101
1904,43,145
1905,175,243
1906,195,189
1907,491,217
1908,168,166
1909,534,184
1910,440,325
1911,95,119
1912,137,276
1913,14,27
1914,82,45
1915,5,23
1916,492,232
1917,168,292
1918,149,165
1919,38,17
1920,350,260
1921,188,197
1922,458,11
1923,906,105
1924,114,65
1925,54,79
1926,56,0
1927,28,13
1928,287,11
1929,521,82
1930,41,110
1931,19,565
1932,217,68
1933,447,292
1934,356,546
1935,257,183
1936,237,181
1937,0,150
1938,72,231
1939,41,13
1940,103,15
1941,331,141
1942,532,119
1943,1439,789
1944,2078,557
1945,1986,583
1946,1025,31
1947,1080,189
